time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:30:52.405Z,15,803,1452,259,923,1198,4041,3478,12738,2666,2469,7037,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.445Z,20,795,1453,261,915,1195,4070,3486,12765,2672,2478,7044,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.485Z,32,788,1460,268,908,1196,4085,3492,12762,2672,2481,7047,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.525Z,45,788,1465,281,908,1199,4082,3498,12747,2671,2480,7047,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.565Z,49,790,1468,290,908,1202,4071,3499,12493,2671,2477,7003,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.605Z,39,790,1468,286,907,1204,4063,3490,12123,2670,2471,6935,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.645Z,25,788,1467,276,906,1203,4059,3476,11961,2670,2465,6904,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.685Z,16,787,1465,266,903,1202,4053,3463,12145,2668,2463,6938,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.725Z,13,788,1465,262,901,1202,4044,3451,12528,2669,2465,7009,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.765Z,15,790,1464,262,903,1203,4026,3427,12719,2668,2461,7046,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.805Z,18,791,1461,264,905,1201,4006,3403,12523,2664,2453,7015,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.845Z,20,789,1458,267,905,1197,4001,3406,12221,2660,2450,6964,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.885Z,20,785,1456,269,903,1193,4012,3430,12073,2658,2453,6939,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.925Z,20,778,1455,272,895,1192,4018,3446,12040,2652,2454,6931,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:52.965Z,20,773,1459,271,887,1196,4013,3449,12044,2643,2455,6933,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.005Z,22,778,1470,267,888,1206,4021,3457,12082,2646,2462,6944,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.045Z,24,789,1484,265,895,1217,4047,3473,12196,2659,2472,6968,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.085Z,27,801,1491,269,904,1223,4064,3488,12392,2669,2479,7004,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.125Z,29,808,1489,274,912,1223,4054,3494,12511,2664,2479,7025,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.165Z,25,807,1485,276,914,1221,4023,3482,12400,2650,2472,7002,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.205Z,17,801,1476,279,914,1216,3990,3459,12179,2637,2465,6959,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.245Z,12,795,1466,281,912,1211,3976,3446,12032,2635,2463,6933,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.285Z,12,789,1462,277,908,1209,3997,3452,11995,2647,2466,6928,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.325Z,15,790,1464,269,906,1209,4044,3462,12023,2668,2467,6932,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.365Z,20,797,1468,268,909,1209,4088,3460,12060,2689,2462,6938,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.405Z,27,798,1472,272,909,1211,4106,3446,12074,2700,2452,6938,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.445Z,32,788,1475,276,900,1211,4108,3430,12076,2702,2443,6936,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.485Z,34,776,1474,277,892,1209,4110,3424,12091,2699,2441,6939,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.525Z,44,773,1470,276,891,1203,4109,3432,12109,2692,2447,6943,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.565Z,62,779,1463,275,896,1196,4090,3448,12105,2681,2455,6942,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.605Z,75,783,1461,275,900,1195,4055,3449,12075,2667,2456,6933,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.645Z,65,782,1471,274,899,1204,4016,3431,12026,2654,2449,6920,Day_2,Dark,Fast,3.75mm,Experiment_2
2025-10-23T02:30:53.685Z,41,777,1480,272,897,1213,3990,3418,11982,2648,2443,6910,Day_2,Dark,Fast,3.75mm,Experiment_2
